INFO 2023-08-09 03:18:54,512 autoreload Watching for file changes with StatReloader
DEBUG 2023-08-09 03:18:55,025 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1689162641.433161
DEBUG 2023-08-09 03:18:55,026 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1689162641.7904904
DEBUG 2023-08-09 03:18:55,026 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1689162641.7934828
DEBUG 2023-08-09 03:18:55,027 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_collect_bytecode_info.py first seen with mtime 1691124227.914731
DEBUG 2023-08-09 03:18:55,027 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1689162639.0390787
DEBUG 2023-08-09 03:18:55,028 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\token.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,028 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_custom_frames.py first seen with mtime 1691124227.9303524
DEBUG 2023-08-09 03:18:55,029 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\urllib\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,029 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevconsole_code.py first seen with mtime 1691124227.914731
DEBUG 2023-08-09 03:18:55,030 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1689162638.9084282
DEBUG 2023-08-09 03:18:55,030 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_plugin_utils.py first seen with mtime 1691124228.0164335
DEBUG 2023-08-09 03:18:55,031 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\urls\converters.py first seen with mtime 1689162640.5763624
DEBUG 2023-08-09 03:18:55,032 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\http\cookies.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,033 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1689162641.4967606
DEBUG 2023-08-09 03:18:55,033 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_subprocess.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,034 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1689162640.389352
DEBUG 2023-08-09 03:18:55,035 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,036 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1689162640.2297797
DEBUG 2023-08-09 03:18:55,036 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydev_ipython\inputhook.py first seen with mtime 1691124228.1002095
DEBUG 2023-08-09 03:18:55,037 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\rest_framework\response.py first seen with mtime 1689162641.490777
DEBUG 2023-08-09 03:18:55,038 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,038 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\_pydev_execfile.py first seen with mtime 1691124227.8678675
DEBUG 2023-08-09 03:18:55,039 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py first seen with mtime 1691124227.9303524
DEBUG 2023-08-09 03:18:55,040 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_xml.py first seen with mtime 1691124228.0134423
DEBUG 2023-08-09 03:18:55,041 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd_plugins\extensions\types\pydevd_plugin_numpy_types.py first seen with mtime 1691124228.3345792
DEBUG 2023-08-09 03:18:55,041 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1689162640.531971
DEBUG 2023-08-09 03:18:55,042 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1689162640.298594
DEBUG 2023-08-09 03:18:55,042 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\pkg_resources\_vendor\packaging\version.py first seen with mtime 1689162641.1538188
DEBUG 2023-08-09 03:18:55,043 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1689162640.5190055
DEBUG 2023-08-09 03:18:55,043 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\utils\text.py first seen with mtime 1689162640.6132631
DEBUG 2023-08-09 03:18:55,044 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\pathlib.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,045 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1689162640.2128234
DEBUG 2023-08-09 03:18:55,046 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\encodings\ascii.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,046 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1689162638.920396
DEBUG 2023-08-09 03:18:55,047 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\xml\dom\xmlbuilder.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,048 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,049 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1689162640.3135538
DEBUG 2023-08-09 03:18:55,050 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\views\debug.py first seen with mtime 1689162640.625232
DEBUG 2023-08-09 03:18:55,051 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\pydev_imports.py first seen with mtime 1691124227.883489
DEBUG 2023-08-09 03:18:55,051 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1689162640.4621568
DEBUG 2023-08-09 03:18:55,052 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\email\_encoded_words.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,053 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1689162639.0420716
DEBUG 2023-08-09 03:18:55,053 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1689162640.4731276
DEBUG 2023-08-09 03:18:55,054 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1689162640.2856288
DEBUG 2023-08-09 03:18:55,054 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\textwrap.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,055 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_exec2.py first seen with mtime 1691124227.9954913
DEBUG 2023-08-09 03:18:55,056 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1689162640.298594
DEBUG 2023-08-09 03:18:55,057 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1689162638.2017317
DEBUG 2023-08-09 03:18:55,057 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1689162638.9184015
DEBUG 2023-08-09 03:18:55,058 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd_plugins\django_debug.py first seen with mtime 1691124228.3295925
DEBUG 2023-08-09 03:18:55,059 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\sqlite3\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,059 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\urllib\response.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,060 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1689162641.432164
DEBUG 2023-08-09 03:18:55,061 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1689162641.4887824
DEBUG 2023-08-09 03:18:55,062 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\socketserver.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,063 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1689162639.1447966
DEBUG 2023-08-09 03:18:55,063 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1689162640.3664124
DEBUG 2023-08-09 03:18:55,064 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1689162638.9184015
DEBUG 2023-08-09 03:18:55,065 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\email\base64mime.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,065 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_defaults.py first seen with mtime 1691124227.9924972
DEBUG 2023-08-09 03:18:55,066 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1689162641.7964742
DEBUG 2023-08-09 03:18:55,067 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_process_net_command_json.py first seen with mtime 1691124228.017431
DEBUG 2023-08-09 03:18:55,067 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py first seen with mtime 1691124227.9303524
DEBUG 2023-08-09 03:18:55,068 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1689162639.046061
DEBUG 2023-08-09 03:18:55,069 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_runfiles\__init__.py first seen with mtime 1691124227.883489
DEBUG 2023-08-09 03:18:55,069 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1689162640.4063058
DEBUG 2023-08-09 03:18:55,070 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\xmlrpc\client.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,071 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\http\response.py first seen with mtime 1689162640.5239923
DEBUG 2023-08-09 03:18:55,071 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1689162640.4043114
DEBUG 2023-08-09 03:18:55,072 autoreload File C:\Users\Alice\Desktop\djangogram\djangogram\__init__.py first seen with mtime 1688886625.6355329
DEBUG 2023-08-09 03:18:55,073 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1689162640.2796445
DEBUG 2023-08-09 03:18:55,073 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1689162640.318541
DEBUG 2023-08-09 03:18:55,074 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1689162640.2726638
DEBUG 2023-08-09 03:18:55,074 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\numbers.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,075 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1689162640.2208028
DEBUG 2023-08-09 03:18:55,076 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1689162640.5773592
DEBUG 2023-08-09 03:18:55,076 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\email\charset.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,078 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\imp.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,078 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\utils.py first seen with mtime 1689162640.4731276
DEBUG 2023-08-09 03:18:55,079 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_trace_dispatch.py first seen with mtime 1691124228.037378
DEBUG 2023-08-09 03:18:55,080 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\conf\urls\static.py first seen with mtime 1689162638.4757698
DEBUG 2023-08-09 03:18:55,080 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1689162638.7378843
DEBUG 2023-08-09 03:18:55,081 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\asyncio\locks.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,082 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1689162640.2916143
DEBUG 2023-08-09 03:18:55,082 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_utils.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,083 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1689162640.5534208
DEBUG 2023-08-09 03:18:55,083 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1689162640.463155
DEBUG 2023-08-09 03:18:55,084 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\pkg_resources\_vendor\packaging\_musllinux.py first seen with mtime 1689162641.1508262
DEBUG 2023-08-09 03:18:55,085 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\urllib\error.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,085 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\contextvars.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,086 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,087 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1689162640.4611602
DEBUG 2023-08-09 03:18:55,088 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\re\_casefix.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,088 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1689162640.555418
DEBUG 2023-08-09 03:18:55,089 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1689162640.615259
DEBUG 2023-08-09 03:18:55,090 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\wsgiref\headers.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,090 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\weakref.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,091 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1689162640.6302183
DEBUG 2023-08-09 03:18:55,091 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\xml\dom\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,092 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1689162640.4831007
DEBUG 2023-08-09 03:18:55,092 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_api.py first seen with mtime 1691124227.914731
DEBUG 2023-08-09 03:18:55,093 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\traceback.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,093 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\json\encoder.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,094 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1689162641.7884953
DEBUG 2023-08-09 03:18:55,095 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1689162640.4033136
DEBUG 2023-08-09 03:18:55,095 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_frame_eval\__init__.py first seen with mtime 1691124228.0433621
DEBUG 2023-08-09 03:18:55,096 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1689162640.2307754
DEBUG 2023-08-09 03:18:55,097 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\__init__.py first seen with mtime 1691124227.8991103
DEBUG 2023-08-09 03:18:55,097 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\pydevd_plugins\pydevd_line_validation.py first seen with mtime 1691124228.3395667
DEBUG 2023-08-09 03:18:55,098 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_json_debug_options.py first seen with mtime 1691124228.0114474
DEBUG 2023-08-09 03:18:55,099 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\postgres\__init__.py first seen with mtime 1689162639.7218943
DEBUG 2023-08-09 03:18:55,099 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\difflib.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,100 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\copy.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,100 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\email\_policybase.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,101 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\typing.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,102 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\asyncio\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,103 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\email\errors.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,103 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py first seen with mtime 1689162641.151824
DEBUG 2023-08-09 03:18:55,104 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\asyncio\sslproto.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,105 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\DLLs\_asyncio.pyd first seen with mtime 1686085318.0
DEBUG 2023-08-09 03:18:55,106 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1689162640.358434
DEBUG 2023-08-09 03:18:55,107 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1689162640.2138224
DEBUG 2023-08-09 03:18:55,107 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\asyncio\subprocess.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,109 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1689162640.2816389
DEBUG 2023-08-09 03:18:55,109 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1689162641.5775445
DEBUG 2023-08-09 03:18:55,110 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1689162640.482103
DEBUG 2023-08-09 03:18:55,110 autoreload File C:\Users\Alice\Desktop\djangogram\user\admin.py first seen with mtime 1690158869.4479544
DEBUG 2023-08-09 03:18:55,111 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1689162640.3374896
DEBUG 2023-08-09 03:18:55,111 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\email\encoders.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,112 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\utils\topological_sort.py first seen with mtime 1689162640.6142607
DEBUG 2023-08-09 03:18:55,112 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1689162640.2766528
DEBUG 2023-08-09 03:18:55,113 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1689162640.5219965
DEBUG 2023-08-09 03:18:55,113 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_additional_thread_info_regular.py first seen with mtime 1691124227.914731
